Company,US profit,US tax,US rate,For. profit,For. tax,For. rate,US rate-For rate
Gamestop,4299,1486,34.6,562,253,45.1,-10.5
Air Products & Chemicals,4186,508,12.1,5770,1431,24.8,-12.7
Sempra Energy,7020,-14,-0.2,3711,868,23.4,-23.6
Automatic Data Processing,14786,4730,32.0,1739,544,31.3,0.7
PPL,7199,180,2.5,5875,747,12.7,-10.2
Synnex,1301,499,38.4,455,126,27.7,10.6
Reinsurance Group of America,3774,14,0.4,2104,501,23.8,-23.4
Visa,31393,11103,35.4,7762,1510,19.5,15.9
Ball,2033,435,21.4,2383,639,26.8,-5.4
Sherwin-Williams,7557,1730,22.9,1026,338,33.0,-10.1
VF,5125,1399,27.3,4735,677,14.3,13.0
Campbell Soup,7465,1882,25.2,1087,428,39.4,-14.2
Henry Schein,3310,1127,34.0,1042,263,25.2,8.8
Dover,4635,1089,23.5,3093,734,23.7,-0.3
Mosaic,7036,1135,16.1,7979,1684,21.1,-5.0
Eastman Chemical,5236,825,15.8,1519,237,15.6,0.2
Corning,7532,145,1.9,13986,1942,13.9,-12.0
Interpublic Group,2419,181,7.5,1922,679,35.3,-27.8
Ecolab,4784,1175,24.6,3241,1148,35.4,-10.9
Celanese,2945,414,14.1,2727,675,24.8,-10.7
Franklin Resources,12311,4912,39.9,8063,909,11.3,28.6
UGI,2774,610,22.0,557,228,40.9,-18.9
Precision Castparts,12705,3277,25.8,2105,487,23.1,2.7
MasterCard,16816,4346,25.8,9672,2951,30.5,-4.7
Clorox,5758,1747,30.3,932,319,34.2,-3.9
Anixter International,1315,394,29.9,573,212,37.0,-7.0
Pitney Bowes,3542,929,26.2,844,335,39.7,-13.5
Ryder System,2093,-7,-0.3,406,65,16.1,-16.4
Spectra Energy,6587,531,8.1,4239,489,11.5,-3.5
Polo Ralph Lauren,4273,1292,30.2,2569,564,21.9,8.3
Bemis,1713,542,31.7,742,238,32.0,-0.4
Rockwell Automation,3285,799,24.3,3418,528,15.4,8.9
Insight Enterprises,590,139,23.6,282,103,36.3,-12.7
Biogen Idec,13567,4945,36.4,4967,398,8.0,28.4
Phillips-Van Heusen,1013,206,20.4,1858,301,16.2,4.2
Cognizant Technology Solutions,3102,1248,40.2,7261,1497,20.6,19.6
Levi Strauss,919,87,9.5,1061,335,31.5,-22.1
CA,6002,2182,36.4,3318,607,18.3,18.1
Flowserve,1622,323,19.9,3134,865,27.6,-7.7
Westrock,3117,195,6.3,476,91,19.2,-13.0
Quanta Services,2346,737,31.4,382,133,34.8,-3.4
Joy Global,3540,699,19.7,1765,558,31.6,-11.9
Priceline.com,758,29,3.9,12270,2317,18.9,-15.0
Alleghany Corporation,3270,724,22.1,918,232,25.3,-3.2
Coach Inc.,6650,2621,39.4,2166,58,2.7,36.7
Discovery Communications Inc.,7410,2734,36.9,3429,939,27.4,9.5
LKQ Corporation,2595,813,31.3,503,107,21.4,10.0
Wyndham Worldwide Corporation,3956,838,21.2,1538,375,24.4,-3.2
Alliance Data Systems,3441,1034,30.1,1513,473,31.3,-1.2
Amphenol,1268,254,20.0,4792,1136,23.7,-3.7
